representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_last,10,hour,wrong,346,0.8782838786615188,10.903190057401714,0.9248554913294798
hidden_last,11,hour,all,480,0.8770780243436731,11.475313971874614,0.9208333333333333
hidden_last,11,hour,correct,134,0.8580198111298647,13.139894086923176,0.9029850746268657
hidden_last,11,hour,wrong,346,0.880658425872533,10.830649996682398,0.9277456647398844
hidden_last,12,hour,all,480,0.8646640932719388,12.689077284932136,0.9270833333333334
hidden_last,12,hour,correct,134,0.8416069954365419,15.171832440504387,0.9029850746268657
hidden_last,12,hour,wrong,346,0.8689764497275223,11.727547831618027,0.9364161849710982
hidden_last,13,hour,all,480,0.8712849720435007,12.315922024846078,0.9145833333333333
hidden_last,13,hour,correct,134,0.8457118157965826,14.345309010192533,0.9029850746268657
hidden_last,13,hour,wrong,346,0.8763877580802475,11.529974464047163,0.9190751445086706
hidden_last,14,hour,all,480,0.8663802967635684,12.65327590474238,0.9166666666666666
hidden_last,14,hour,correct,134,0.8467673348908155,13.88533664817241,0.9029850746268657
hidden_last,14,hour,wrong,346,0.8683908892084071,12.176119431853294,0.9219653179190751
hidden_last,15,hour,all,480,0.8759301160919115,12.045603522534172,0.9083333333333333
hidden_last,15,hour,correct,134,0.8391970683362153,13.474240936450107,0.8955223880597015
hidden_last,15,hour,wrong,346,0.88486832518664,11.492316200381758,0.9132947976878613
hidden_last,16,hour,all,480,0.8847888569178475,11.416465289145709,0.9020833333333333
hidden_last,16,hour,correct,134,0.8491544005210656,13.795360184427519,0.8731343283582089
hidden_last,16,hour,wrong,346,0.8932886008282468,10.495159173631944,0.9132947976878613
hidden_last,17,hour,all,480,0.894363749091825,10.787948135612535,0.9
hidden_last,17,hour,correct,134,0.8543901706819607,13.088356772465495,0.8731343283582089
hidden_last,17,hour,wrong,346,0.9037916871916735,9.897038432322658,0.9104046242774566
hidden_last,18,hour,all,480,0.8913806326675451,11.077165708923712,0.9104166666666667
hidden_last,18,hour,correct,134,0.8597519438594143,12.793707085189538,0.8805970149253731
hidden_last,18,hour,wrong,346,0.8976276288987874,10.41237800828897,0.9219653179190751
hidden_last,19,hour,all,480,0.8869829927358989,11.110323436558247,0.9083333333333333
hidden_last,19,hour,correct,134,0.8674244628960991,11.643973645879264,0.8656716417910447
hidden_last,19,hour,wrong,346,0.8899123772995639,10.903649656069762,0.9248554913294798
hidden_last,20,hour,all,480,0.8904975969888516,10.942711012426297,0.9145833333333333
hidden_last,20,hour,correct,134,0.8737928638734107,10.574962466510376,0.8432835820895522
hidden_last,20,hour,wrong,346,0.893968469788322,11.085133859688533,0.9421965317919075
hidden_last,21,hour,all,480,0.906930060801804,10.053951239710052,0.9145833333333333
